Task,Input,Epoch,Train Loss,Validation Loss,F1-Score (Classification),Learning Rate,Time
Embedding Regression,channel_emb,1,173.071852885136,133.20660472560573,-,0.001,1753687693
Embedding Regression,channel_emb,2,106.27501631756218,92.44932210767591,-,0.001,1753687700
Embedding Regression,channel_emb,3,83.15638463026812,74.49797460195181,-,0.001,1753687706
Embedding Regression,channel_emb,4,72.82796807840568,68.06689316517598,-,0.001,1753687713
Embedding Regression,channel_emb,5,67.03994051615398,66.66708969425511,-,0.001,1753687718
Embedding Regression,channel_emb,6,65.27156072084595,63.27825713802029,-,0.001,1753687723
Embedding Regression,channel_emb,7,63.92699693173778,64.70286933795826,-,0.001,1753687729
Embedding Regression,channel_emb,8,61.39953146175463,63.76652416023048,-,0.001,1753687734
Embedding Regression,channel_emb,9,61.8623409011737,65.13442637469318,-,0.001,1753687739
Embedding Regression,channel_emb,10,58.82290472951876,64.24186755515434,-,0.001,1753687745
